COUNTY,Client Name,Client DOB,Charge(s),Attorney,Date added to WCL,Notes,Website(s)
Franklin CP and Muni,,,,,,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
,John Smith,04/05/1996,RAPE,Brian,1/20/2022,,
,Leslie Adams,10/7/66,OVI,Brian,1/20/2022,,
